product_name,product_sku,short_desc,long_desc,product_status,brand_code,category_slug,product_price,store_name
Adidas Ultraboost,ADIDAS-ULT-101,Lightweight sports shoes,Adidas Ultraboost shoes designed for running and training,A,NIKE001,men-shoes,7499,Kolkata Main Store
Reebok Classic,REEB-CLS-102,Classic casual shoes,Reebok Classic shoes designed for everyday casual use,A,PUMA002,women-shoes,4299,Mumbai Store
Skechers Go Run,SKECH-GOR-103,Comfortable running shoes,Skechers Go Run shoes designed for daily workouts and running,A,PUMA002,medicine,6599,Kolkata Main Store
Woodland Trekking Shoes,WOOD-TREK-104,Durable outdoor shoes,Woodland trekking shoes designed for outdoor activities,A,NIKE001,men-shoes,7999,Mumbai Store
Bata Sports Runner,BATA-SPR-105,Affordable sports shoes,Bata sports runner shoes suitable for exercise and daily use,A,PUMA002,women-shoes,2899,Kolkata Main Store
Campus Active Run,CAMP-ACT-106,Lightweight running shoes,Campus Active Run shoes designed for running and fitness activities,A,NIKE001,medicine,2399,Mumbai Store
Adidas Street Runner,ADIDAS-STR-107,Comfortable casual shoes,Adidas Street Runner shoes designed for casual everyday wear,A,PUMA002,men-shoes,5199,Kolkata Main Store
Reebok Training Pro,REEB-TRN-108,Flexible training shoes,Reebok Training Pro shoes designed for gym and fitness activities,A,NIKE001,women-shoes,4699,Mumbai Store
Skechers Flex Walk,SKECH-FLX-109,Soft walking shoes,Skechers Flex Walk shoes designed for comfortable daily walking,A,PUMA002,medicine,5799,Kolkata Main Store
Campus Sports Max,CAMP-SPM-110,Durable sports shoes,Campus Sports Max shoes designed for outdoor sports and running,A,NIKE001,men-shoes,3199,Mumbai Store
